user_id,message,description,reason,category
1,나만의 길을 찾을 때까지 인생이라는 게임의 레버를 당기는 법,좋아하는 일로 행복하게 일하는 상위 1% 밀레니얼 프리워커 드로우앤드류입니다.,자율성과 자유,경제적 독립
2,UI/UX 아티클 백과사전 (국내&해외) - 매일 업로드,"0?? 25년차 UX 컨설턴트이면서 20년차 UX 강사로서 하루도 빠지지 않고 수집했던 방대한 양의 자료들을 공개하고자 합니다.
1?? 매일 다양한 주제의 국내&해외 UI/UX 아티클이 업로드됩니다.
2?? 국내&해외 UI/UX 트렌드를 빠르게 파악할 수 있습니다.
3?? 구글,브런치,서핏 등에 검색하지 않고도 해시태그를 통해 아티클을 손쉽게 찾을 수 있습니다.
4?? 지금 바로 입장하실 수 있습니다.",,
3,UXUI 취업 이직 스터디-포트폴리오 컨설팅,??이런분들께 아주 도움되실꺼에요?? UX디자이너가 되기위해 취업준비중인 취준생 ??타 전공자분들을 위한 UX입문과정UX팀으로 이직을 위한 이직 준비 과정,,
4,데일리 디자인 정보 공유 세션,매일 디자인 소식 하나를 픽해서 공유합니다. 실무에 유용한 정보를 체계적으로 정리해 드립니다. 뼈가 되고 살이 되는 정보로 튼튼한 디자이너로 성장하세요.,,
5,피그마 학습방 : 서비스 기획자와 함께해요!,"피그마가 궁금하신가요? 피그마를 쓰고 있으신가요?
피그마를 사용하며 프로덕트를 만드는 기획자가 함께 알려드려요.
같이 공부하고 정보공유하고, 성장하는 그룹입니다. :)",,
6,UX Writer로 성장해볼까요?,"UX Writer 직무가 궁금하신 분들,
현업에서는 어떻게 일하는지 궁금하신 분들,
더 나은 UX Writer로 성장하고 싶으신 분들,
현재 핫한 UX Writer로 성장해보세요!",,
7,"BX 디자이너, 취업/이직하기",신입/주니어 BX (브랜드) 디자이너 분들의 구직을 위한 포트폴리오 코칭과 멘토링을 진행합니다,,
8,성장하는 프로덕트 디자이너 ?? SaaS 환영,SaaS와 프로덕트 디자인에 대한 정보와 의견을 나눠요. 하루에 하나라도 제대로 읽고 내 것으로 소화해요.그렇게 한 걸음씩 성장하는 우리가 되었으면 해요! ??,,
9,??디자이너로서 성공하고 싶은 사람들이 모인 방,"안녕하세요, 저는 고졸, 국비지원 과정을 통해 스타트업 디자이너로 커리어를 시작하여 UI/UX 디자인 뿐만 아니라 그래픽, BX 영역까지 홀로 소화하였어요.

스타트업 창업 멤버부터 700명 규모 회사까지 경험한 6년 차 스타트업 프로덕트 디자이너입니다.

스타트업에서 겪은 작고 큰 성공과 실패 경험을 UX 혹은 프로덕트 관점에서 공유해 드리려고 해요.

더 나아가 저와 비슷한 위치에서 도전하고 있는 취업준비생 혹은 주니어 디자이너분들께 도움을 주고 싶어요.",,
10,프로토파이(Protopie) 프로토타이핑 도움방,프로토타이핑 도구 중 high-fidelity(높은 재현)을 가진 Protopie에서 프로토타입 구현 방법이나 인터랙션에 대한 질문 및 그 밖에 다양한 이야기를 나누는 공간입니다.,,
11,프로덕트 디자인 & 디자인 시스템,"디지털 제품 디자인에 관심있는 분들이라면 누구든 참여할 수 있습니다. 효율적인 디자인, 논리적인 디자인, 유저 중심의 디자인 등 광범위한 주제에 대해 자유롭게 이야기 나눠요!",,
12,???????프로 그래픽 디자이너로 성장하기/취?이직/그래픽 스킬업,"포트폴리오,디자인 지식 등 그래픽 디자인에 대한 경험을 쌓아가요!디자인 업계로 취/이직을 준비하는 분들,디자인에 진심인 분들,나의 그래픽 씨앗을 멋지게 키우고 싶은 분들 어서오세요",,
13,?? [비사만사] B2B SaaS를 만드는 사람들 ??,"?? B2B SaaS 프로덕트를 만드는 메이커 분들 모두 환영합니다
(경영진, 기획자, 디자이너, 개발자, 마케터, CX ...)
?? 커뮤니티에 참여하고 (1) 관련 아티클 및 자료 (2) 실무 팁 (3) 네트워킹의 기회 (4) 본인 프로덕트의 자유로운 홍보 기회 등을 얻어가세요!",,
14,요즘 마케터들의 공부 거리 ??,"빠르게 변화하는 세상 속에서 ""마케터""로 살아가는 이들은 어떤 것들을 알아야할까요 ?? 기술은 세상을 고객을 그리고 마케터를 어떻게 바꿔갈까요 ?? 함께 이야기해보아요!",,
15,?? PO/PM의 성장과 네트워킹을 위한 자유대화방,"Product Owner, Product Manager 그거 어떻게 하는건데... IT 서비스 PM PO 현직자 지망생 환영합니다. 잡담, 수다, 뉴스, 토론 등 모두 환영입니다.",,
16,"(소수만 모집) PM, PO, 서비스기획자 끼리 가볍게 담소 나눠요","서비스기획 업무를 하는사람들끼리 의견 나누고 담소도 나눠요.
발언에 부담을 줄이기 위해 소수인원으로 유지하려해요.
그대신 눈팅만 하지마시고 모두가 대화에 참여해요.",,
17,디지털마케팅 스터디 그룹,디지털 마케팅 스터디를 통해서 디지털 마케팅 역량을 키우실 분들을 모집합니다. 각 주제별로 매주 스터디 및 과제 공유를 합니다.,,
18,GA4/GTM 스터디 그룹,GA4로 갈아타기가 어려우신 마케터/취준생들을 위한 스터디방이며 빠른 시일 내에 GA4/GTM을 감각을 익힐 수 있도록 도와드리고 있습니다. 필요에 따라 상담 및 온라인 스터디 미팅 진행합니다.,,
19,[브만세] 브랜드로 만나는 세상,세상에 도움이 되는 브랜드를 만들기 위해 함께 공부해봐요~!,,
20,스타트업 피플의 티타임 ????,"스타트업에서 서비스와 제품을 성장시키는 창업가적 고민을 하는 분들의 모임입니다. 

고충을 서로 나누고 얕고 넓은 네트워킹을 위해 오프라인 커피/티타임을 희망하시는 분들 함께 모여요. ",,
21,케빈의 여의도 취업 멘토링,"한국,홍콩에서 국내외 은행,증권사,자산운용사에서 프랍트레이딩 , 주식운용, 파생상품, ELS 헤지운용 경험으로 금융기관에서 세일즈앤 트레이딩 Job을 찾으시는 분들에게 멘토링^^",,
22,테이바생각 케빈의 파생상품 투자이야기,나는 지금 얼마나 위험하게 투자하고 있는지 아시나요? 다양한 금융상품에 대하여 또 위험대비 수익을 더 높이기 위한 노력을 같이 해 보는 클럽입니다.,,
23,퀀트투자와 시스템트레이딩 with 퀀트대디,"퀀트 투자, 퀀트 / 시스템 트레이딩, 퀀트 커리어에 대해 얘기하는 클럽입니다.",,
24,크리에이터 라운지 : 상상이 현실이 되는 공간,"이런 이야기를 나누어요

문화예술분야에서 AI생성인공지능의 발전과 활용

아티스트 관점에서 생성형 AI 들여다보기

철학, 과학, 미술에 대한 새로운 이슈 나누기

이런 사람들을 환영합니다.

가상현실이나 증강현실에 관심이 깊다.

4차 산업을 이용해 새로운 문화예술 비즈니스나 프로젝트를 기획하고 싶다.

영감을 받아 새로운 사업을 아이디어를 도출하고 싶다.

커뮤니티 안에서 결이 맞는 이들과 팀빌딩을 하고 싶다.

주기적으로 새로운 이슈를 공유하며 트렌드를 파악하고 싶다.

다양한 분야의 뾰족한 사람들을 모집합니다.

ex) 방송/영상 분야 종사자, 미디어아트 제작자, 파인아트 전공자, 클래식 음악 전공자, 공연 기획 및 연출가, 아티스트, BI/BX디자이너, 전시 기획자, 큐레이터, 개발자, 디자이너, 광고/홍보 마케터, 3D 디자이너, 공간 디자이너 등 ",,
25,?? 환경 책/다큐 보고 함께 얘기해 보아요!,"인터레스팅 콘텐츠 클럽은 매달 선정된 하나의 환경 콘텐츠를 본 후, 서로의 경험과 생각을 자유롭게 얘기하는 모임입니다.

짝수 월은 책, 홀수 월은 다큐를 선정하여, 매월 넷째주 토요일에 오프라인 모임을 진행해요.

환경, 기후위기, ESG 관련 아티클도 공유하여 관련 정보들을 같이 나누어 보아요!",,
26,"와인홀릭스(와인과 사람에 빠지다) ?? 모임, 교류, 정보공유","맛있는 음식을 먹을 때, 축하할 때, 여행할 때 와인은 향과 스토리를 가져다 주고 사람은 추억과 기록을 남깁니다. 일상 속 와인을 공유하고 자랑하고 이야기도 나누어 보아요!",,
